"planner","domain","problem","solved","oksolved"
"fd-autotune-2","transport","000",1,1
"fd-autotune-2","transport","001",1,1
"fd-autotune-2","transport","002",1,1
"fd-autotune-2","transport","003",1,1
"fd-autotune-2","transport","004",1,1
"fd-autotune-2","transport","005",0,0
"fd-autotune-2","transport","006",0,0
"fd-autotune-2","transport","007",1,1
"fd-autotune-2","transport","008",0,0
"fd-autotune-2","transport","009",1,1
"fd-autotune-2","transport","010",1,1
"fd-autotune-2","transport","011",1,1
"fd-autotune-2","transport","012",1,1
"fd-autotune-2","transport","013",0,0
"fd-autotune-2","transport","014",0,0
"fd-autotune-2","transport","015",0,0
"fd-autotune-2","transport","016",0,0
"fd-autotune-2","transport","017",0,0
"fd-autotune-2","transport","018",0,0
"fd-autotune-2","transport","019",0,0
"fdss-1","transport","000",1,1
"fdss-1","transport","001",1,1
"fdss-1","transport","002",1,1
"fdss-1","transport","003",1,1
"fdss-1","transport","004",1,1
"fdss-1","transport","005",1,1
"fdss-1","transport","006",1,1
"fdss-1","transport","007",1,1
"fdss-1","transport","008",1,1
"fdss-1","transport","009",1,1
"fdss-1","transport","010",1,1
"fdss-1","transport","011",1,1
"fdss-1","transport","012",1,1
"fdss-1","transport","013",0,0
"fdss-1","transport","014",0,0
"fdss-1","transport","015",0,0
"fdss-1","transport","016",1,1
"fdss-1","transport","017",1,1
"fdss-1","transport","018",0,0
"fdss-1","transport","019",0,0
"fdss-2","transport","000",1,1
"fdss-2","transport","001",1,1
"fdss-2","transport","002",1,1
"fdss-2","transport","003",1,1
"fdss-2","transport","004",1,1
"fdss-2","transport","005",1,1
"fdss-2","transport","006",1,1
"fdss-2","transport","007",1,1
"fdss-2","transport","008",1,1
"fdss-2","transport","009",1,1
"fdss-2","transport","010",1,1
"fdss-2","transport","011",1,1
"fdss-2","transport","012",1,1
"fdss-2","transport","013",0,0
"fdss-2","transport","014",0,0
"fdss-2","transport","015",0,0
"fdss-2","transport","016",1,1
"fdss-2","transport","017",1,1
"fdss-2","transport","018",0,0
"fdss-2","transport","019",0,0
"forkuniform","transport","000",1,1
"forkuniform","transport","001",1,1
"forkuniform","transport","002",1,1
"forkuniform","transport","003",1,1
"forkuniform","transport","004",1,1
"forkuniform","transport","005",1,1
"forkuniform","transport","006",0,0
"forkuniform","transport","007",1,1
"forkuniform","transport","008",0,0
"forkuniform","transport","009",1,1
"forkuniform","transport","010",0,0
"forkuniform","transport","011",1,1
"forkuniform","transport","012",1,1
"forkuniform","transport","013",0,0
"forkuniform","transport","014",0,0
"forkuniform","transport","015",0,0
"forkuniform","transport","016",0,0
"forkuniform","transport","017",0,0
"forkuniform","transport","018",0,0
"forkuniform","transport","019",0,0
"lama-2008","transport","000",1,1
"lama-2008","transport","001",1,1
"lama-2008","transport","002",1,1
"lama-2008","transport","003",1,1
