"planner","domain","problem","timesols","values"
"cbp","transport","002","49, 63, 82, 119, 210","16351.0, 15274.0, 15081.0, 11297.0, 10198.0"
"cbp","transport","003","1, 6, 9, 14, 609, 1148, 1464","7704.0, 7700.0, 7633.0, 6578.0, 5809.0, 5092.0, 4992.0"
"cbp","transport","004","66, 70, 84, 85, 90, 90","15897.0, 15724.0, 13989.0, 13854.0, 13291.0, 13255.0"
"cbp","transport","005","41, 81, 170, 171, 172","11475.0, 10990.0, 10398.0, 8979.0, 8687.0"
"cbp","transport","006","21, 41, 283, 283, 322, 326","19711.0, 17353.0, 16778.0, 16664.0, 16515.0, 15190.0"
"cbp","transport","007","2, 18, 22","4381.0, 3735.0, 2996.0"
"cbp","transport","008",,
"cbp","transport","009","43, 130, 147","17080.0, 13132.0, 11852.0"
"cbp","transport","010","2, 38, 165, 168, 178","6485.0, 5925.0, 5334.0, 5248.0, 5183.0"
"cbp","transport","011","19, 23, 24, 130, 151","10562.0, 8075.0, 6102.0, 5259.0, 4783.0"
"cbp","transport","012","55, 61, 73, 87, 92, 393, 475, 593","11935.0, 11029.0, 10507.0, 10356.0, 8181.0, 8083.0, 7810.0, 7173.0"
"cbp","transport","013","1028","32742.0"
"cbp","transport","014",,
"cbp","transport","015",,
"cbp","transport","016","1253, 1356, 1562","45667.0, 45278.0, 36120.0"
"cbp","transport","017","34, 395, 540, 1470, 1769","18773.0, 18599.0, 16517.0, 14412.0, 13026.0"
"cbp","transport","018","55, 731, 835, 937","49492.0, 29591.0, 25086.0, 21320.0"
"cbp","transport","019","921","23939.0"
"cbp2","transport","000","5, 61, 81, 1664","2224.0, 2031.0, 1875.0, 1831.0"
"cbp2","transport","001","12, 127, 137, 147, 328","2176.0, 2080.0, 2002.0, 1909.0, 1905.0"
"cbp2","transport","002","15, 201, 213, 336","9077.0, 7826.0, 6973.0, 6873.0"
"cbp2","transport","003","1, 8, 19, 637, 644, 644, 645, 908","5912.0, 4865.0, 4831.0, 4747.0, 4486.0, 4482.0, 4363.0, 4340.0"
"cbp2","transport","004","3, 23, 34, 587, 620, 668, 729","6239.0, 6182.0, 5986.0, 5818.0, 5702.0, 5675.0, 5666.0"
"cbp2","transport","005","8, 83","6978.0, 5650.0"
"cbp2","transport","006","70, 104","7760.0, 7452.0"
"cbp2","transport","007","15, 239, 251","2280.0, 2263.0, 1850.0"
"cbp2","transport","008","19, 183, 209, 234, 351","9372.0, 8440.0, 8229.0, 7375.0, 7017.0"
"cbp2","transport","009","25, 362, 386","9150.0, 9057.0, 7851.0"
"cbp2","transport","010","25, 518, 582","3356.0, 3133.0, 2918.0"
"cbp2","transport","011","23, 357, 378, 577, 592, 726","3267.0, 3186.0, 3010.0, 2880.0, 2753.0, 2733.0"
"cbp2","transport","012","33, 480, 512, 795, 910","5003.0, 4006.0, 3859.0, 3730.0, 3448.0"
"cbp2","transport","013","142, 1248","10624.0, 9960.0"
"cbp2","transport","014","133, 1199, 1738","10445.0, 10028.0, 9989.0"
"cbp2","transport","015","112, 1157","11662.0, 11412.0"
"cbp2","transport","016","618","11564.0"
"cbp2","transport","017","504","8827.0"
"cbp2","transport","018","849","9058.0"
"cbp2","transport","019","726","8320.0"
"cpt4","transport","000",,
"cpt4","transport","001",,
"cpt4","transport","002",,
"cpt4","transport","003",,
"cpt4","transport","004",,
"cpt4","transport","005",,
"cpt4","transport","006",,
"cpt4","transport","007",,
"cpt4","transport","008",,
"cpt4","transport","009",,
"cpt4","transport","010",,
"cpt4","transport","011",,
"cpt4","transport","012",,
"cpt4","transport","013",,
"cpt4","transport","014",,
"cpt4","transport","015",,
"cpt4","transport","016",,
"cpt4","transport","017",,
"cpt4","transport","018",,
"cpt4","transport","019",,
"dae_yahsp","transport","000","12, 19, 22, 30, 31, 61, 69, 83, 84, 105, 109, 114, 147, 169, 393, 476, 479, 479, 504, 612, 1543, 1585","3840.0, 2738.0, 2573.0, 2415.0, 2010.0, 1987.0, 1883.0, 1850.0, 1827.0, 1806.0, 1763.0, 1654.0, 1594.0, 1590.0, 1586.0, 1575.0, 1574.0, 1547.0, 1535.0, 1512.0, 1505.0, 1498.0"
"dae_yahsp","transport","001","21, 31, 45, 46, 54, 75, 101, 147, 215, 269, 371, 384, 1387, 1523, 1639, 1721","2488.0, 2371.0, 2360.0, 2153.0, 2078.0, 1997.0, 1922.0, 1918.0, 1866.0, 1863.0, 1849.0, 1813.0, 1796.0, 1749.0, 1712.0, 1701.0"
"dae_yahsp","transport","002","33, 39, 59, 66, 97, 152, 153, 194, 212, 325, 404, 469, 489, 508, 614, 618, 739, 775, 798, 882, 923, 935, 936, 1020, 1162, 1183, 1274, 1279, 1308, 1385, 1398, 1419, 1489, 1533, 1603","9997.0, 8757.0, 8618.0, 8547.0, 8133.0, 7436.0, 7236.0, 6733.0, 6643.0, 6206.0, 6181.0, 5932.0, 5764.0, 5521.0, 5483.0, 5450.0, 5414.0, 5412.0, 5330.0, 5318.0, 5261.0, 5259.0, 5247.0, 5190.0, 5181.0, 5152.0, 5143.0, 5126.0, 5099.0, 5097.0, 5062.0, 5027.0, 5009.0, 4989.0, 4971.0"
"dae_yahsp","transport","003","15, 16, 26, 32, 52, 52, 57, 57, 69, 75, 76, 77, 77, 87, 107, 113, 116, 123, 128, 220, 225, 226, 229, 233, 250, 256, 316, 490, 706, 715, 1009, 1034, 1075, 1081, 1095, 1147","5323.0, 4053.0, 3685.0, 3665.0, 3660.0, 3627.0, 3550.0, 3464.0, 3431.0, 3428.0, 3426.0, 3422.0, 3417.0, 3408.0, 3406.0, 3401.0, 3400.0, 3392.0, 3391.0, 3329.0, 3324.0, 3309.0, 3279.0, 3259.0, 3243.0, 3217.0, 3201.0, 3149.0, 3142.0, 3105.0, 2892.0, 2834.0, 2821.0, 2664.0, 2650.0, 2618.0"
"dae_yahsp","transport","004","19, 34, 40, 46, 52, 71, 75, 93, 104, 110, 115, 117, 134, 149, 162, 169, 171, 187, 187, 193, 195, 201, 206, 210, 218, 552, 1352, 1369, 1377, 1388, 1417, 1425, 1428, 1540, 1631","5913.0, 5891.0, 5779.0, 5398.0, 4914.0, 4786.0, 4701.0, 4588.0, 4552.0, 4522.0, 4518.0, 4489.0, 4310.0, 4301.0, 4290.0, 4281.0, 4264.0, 4255.0, 4235.0, 4040.0, 4014.0, 4005.0, 4003.0, 3994.0, 3985.0, 3974.0, 3959.0, 3935.0, 3932.0, 3893.0, 3870.0, 3843.0, 3804.0, 3716.0, 3661.0"
"dae_yahsp","transport","005","44, 110, 118, 141, 148, 150, 211, 213, 220, 223, 231, 240, 246, 257, 294, 310, 349, 350, 564, 886, 1182, 1215, 1224, 1261, 1269, 1297, 1350, 1490, 1591","5752.0, 5730.0, 5418.0, 5261.0, 5181.0, 5146.0, 5131.0, 5111.0, 5102.0, 5098.0, 5073.0, 5017.0, 4914.0, 4795.0, 4780.0, 4504.0, 4502.0, 4489.0, 4486.0, 4480.0, 4394.0, 4384.0, 4119.0, 4112.0, 4106.0, 4052.0, 4027.0, 3985.0, 3974.0"
"dae_yahsp","transport","006","85, 92, 145, 283, 295, 357, 397, 463, 532, 612, 712, 790, 873, 1029","9112.0, 7245.0, 6651.0, 6506.0, 6462.0, 6364.0, 6119.0, 6025.0, 5975.0, 5798.0, 5790.0, 5748.0, 5740.0, 5683.0"
"dae_yahsp","transport","007","30, 62, 66, 388, 422, 437, 476, 558, 1184, 1280, 1366","2454.0, 2271.0, 2222.0, 2221.0, 2219.0, 2128.0, 2103.0, 2101.0, 2094.0, 2070.0, 2067.0"
"dae_yahsp","transport","008","106, 109, 398, 418, 422, 514, 641, 644, 745, 785, 856, 891, 1046, 1137","8652.0, 7193.0, 7032.0, 7028.0, 6712.0, 6666.0, 6495.0, 6449.0, 6418.0, 6372.0, 6361.0, 6090.0, 6038.0, 5863.0"
"dae_yahsp","transport","009","53, 54, 58, 100, 191, 251, 394, 509, 550","12225.0, 10989.0, 8150.0, 7828.0, 7180.0, 6701.0, 6304.0, 6288.0, 6145.0"
"dae_yahsp","transport","010","39, 56, 66, 73, 95, 98, 159, 159, 248, 254, 277, 310, 341, 390, 396, 460, 837, 960, 994, 1339","3458.0, 3452.0, 3400.0, 3388.0, 3350.0, 3081.0, 3036.0, 2657.0, 2649.0, 2629.0, 2619.0, 2595.0, 2486.0, 2477.0, 2439.0, 2316.0, 2276.0, 2240.0, 2238.0, 2139.0"
"dae_yahsp","transport","011","35, 53, 95, 149, 167, 237","3000.0, 2981.0, 2733.0, 2624.0, 2608.0, 2577.0"
"dae_yahsp","transport","012","44, 48, 49, 63, 68, 119, 173, 204, 237, 266, 293, 342, 435, 524, 741, 1084, 1228","5729.0, 4520.0, 4372.0, 4249.0, 3902.0, 3737.0, 3714.0, 3686.0, 3671.0, 3637.0, 3467.0, 3375.0, 3334.0, 2991.0, 2935.0, 2900.0, 2860.0"
"dae_yahsp","transport","013","668","9004.0"
"dae_yahsp","transport","014","630, 657, 985, 1095, 1162, 1430, 1436, 1513, 1553","12162.0, 8917.0, 8606.0, 8490.0, 8156.0, 8107.0, 8079.0, 7346.0, 7209.0"
"dae_yahsp","transport","015","730, 1026, 1062, 1580, 1718","12489.0, 12379.0, 10721.0, 8217.0, 7533.0"
"dae_yahsp","transport","016","780, 799, 958, 1014, 1470, 1516, 1763","17552.0, 11239.0, 11151.0, 10925.0, 10884.0, 9511.0, 9466.0"
"dae_yahsp","transport","017","671, 828, 859, 883, 1173, 1216, 1432, 1797","11566.0, 10515.0, 9566.0, 8205.0, 7732.0, 7313.0, 7226.0, 6659.0"
"dae_yahsp","transport","018","879, 904, 1021, 1057, 1362, 1636, 1649, 1724, 1731","12353.0, 10484.0, 10375.0, 8975.0, 8392.0, 8391.0, 8245.0, 8176.0, 8011.0"
"dae_yahsp","transport","019","1005, 1037, 1143, 1217","11738.0, 9618.0, 8487.0, 6891.0"
"fd-autotune-1","transport","000","7, 13, 18","1988.0, 1362.0, 1246.0"
